the start of ,"English Level 3, Monday on December 5th ",
lesson 22,"# week 5, from 85 to 88",
,,
rely,"# verb, AW, to need or depend on something /somebody
– As babies, we rely entirely on others for food.
# 2. to trust or have faith in someone or something 
– you should rely on you own judgment. ",
faith,"# faith (in someone/ something) trust in someone’s ability or knowledge; trust that someone or something will do what has been promised. 
– I have great faith in you – I know you will do well.",
reliable,"# that can be trusted to do something well; that you can rely on || dependable 
– we are looking for someone who is reliable and hard-working. 
– a reliable friend 
– My car is not as reliable as it used to be.",
manly,"# having the qualities or physical feature that are admired or expected in a man
– He looked so manly in his uniform. 
# manliness
– He felt she had insulted his manliness. ",
womanly,"# behaving, dressing, etc. in a way that people think is typical of or very suitable for a woman || feminine 
– a soft, womanly figure 
# also womanliness ",
sob,"# ( sobbing, sobbed ) to cry noisily, taking sudden sharp breaths 
– I heard a child sobbing loudly. 
– He started to sob uncontrollably.
– Jason started sobbing. The policeman was surprised. ",
chuckle,"# to laugh quietly ( at / about something )
– She chuckled at the memory.
– After chuckling a little bit, the police let Jason go with just a warning. ",
rivalry ,"# a state in which two people, competitions, etc. are competing for the same thing
– political rivalry
– Sibling Rivalry(= between brothers and sisters )",
cast ,"# verb: 1. to vote for something or someone 
# verb: 5. to choose to play the different parts in a movie, play, etc.; to choose an actor to play in particular role 
– He cast her as an ambitious lawyer in his latest movie. 
– A movie ended up casing his brother instead. ",
,,
lesson 23,"# week 5, from 89 to 92",
,,
avoid,"# to prevent something bad from happening 
– The accident could have been avoid.
# 2. to keep away from something / somebody; to try not to do something 
– I left early to avoid the rush hour. 
– He had avoided the dentist for ten years.",
,,
wisdom,# the ability to make sensible decisions and give good advice because of the experience and knowledge that you have,
wisdom tooth,"# any of the four large teeth at the back of the mouth that do not grow until your are an adult
– Unfortunately,  his wisdom teeth were killing him.",
glue,"# to join two things together using glue || stick 
# noun: a sticky substance that is used for joining thins together
– Liz Adams has spent all day glued to her radio. ",
tent,"# a shelter mode of a large sheet of canvas, nylon, etc. that is supported by poles and ropes fixed to the ground. and used especially for camping.
– to put up / take down a tent",
face,"# verb: 1. to be opposite someone or something; to have your face of front pointing toward someone or something
# verb: 2. if you face a particular situation , or it faces you, you have to deal with it
– She is faced with a difficult decision. 
– The company is facing a financial crisis. 
– she said, “you are facing your fear tomorrow.” ",
non-stop,"# or nonstop: ( of a train, a trip, etc ) without any stops || direct
– a nonstop train / service
– a nonstop flight to Tokyo
– We flew nonstop from Paris to Chicago.
– Liz listened to the station non-stop.",
teddy bear,# a soft toy bear,
awake,"# adjective: not asleep
– to be half / fully awake
– to be wide awake (= fully awake)
# verb: ( awoke, awoken ) formal: to wake up; to make someone wake up
– I awoke from a deep sleep.
– He voice awoke the sleeping child.
– When they awoke, all their food were gone.",
,,
WEEK 6,"# LESSONS 24, 25, 26, 27, 28",
lesson 24,"# week 6, from 93 to 96",
,,
orchid,"# a plant with brightly colored flowers of unusual shapes
– First, he tried some orchids. ",
caterpillar,"# a small creature like a worm with legs that develop into a butterfly; caterpillars eat the leaves of plants 
– Next, he planted some rose bush. After one week, caterpillars had eaten the whole bush.",
petunia ,"# a garden plant with white, pink and purple or red flowers
– He planted some beautiful petunias. After one week they were killed by weeds.",
weed,"# a wild plant growing when it is not wanted, especially amount crops or garden plants.",
,,
lesson 25,"# week 6, from 97 to 100",
,,
crook,"# to bend your finger and arm
– She winked and crooked a finger to him
# noun: a dishonest person
# not in a straight line; bent or twisted 
– a crooked nose / simile / tooth
– Martin had very crooked teeth.",
wink,"# to close one eye and open it again quickly, especially as a private signal to somebody",
remark,"# to say or write a comment about something or somebody || comment 
– “I look ugly now!” he remarked.",
that way,"# phrase ( of a person ) to behave or do things in a particular manner because it is part of you character 
– It is not his fault he is so pompous – he was born that way.
– “Stop being ridiculous!” said his dad. “You already looked that way before they put the braces on!”",
astronaut,"a person whose job involves traveling and working in a space craft
– Wilson has always wanted to be an astronaut.",
mission,"# { official job / group } an important official job that a person or group of people is given to do, especially when they are sent to another country
– a trade mission to China
# 7 {space flight} a flight into space
– a US space mission
– He was on space mission to the moon.",
sail,# a sheet of strong cloth which the wind blows against to make a boat or ship travel through the water,
sailing,"# the sport or activity of traveling in a boat with sails
– to go sailing
– Clark took his six-year-old son sailing. ",
amaze,"# to surprise somebody very much
– James was amazed.",
mermaid,"# ( in stories ) a creature with a woman’s head and body, and a fish’s tail instead of legs
– “Do you know what that is?” he asked his son. “A mermaid!” shouted James.",
manatee,"# a large water animal with front legs and a strong tail but has not back legs that lives an America and Africa 
– “That is called a manatee. Their nickname is ‘sea cows’.”",
,,
lesson 26,"# week 6, from 101 to 104",
,,
rescue,"# to save somebody / something from a dangerous or harmful situation 
– He rescued a child from drowning.
– The lifeguard had to rescue Justin. ",
post,"# verb: 1. to send a letter, etc. to somebody by post / mail
# verb: 6. { Public Notice } to put a notice, etc. in a public place so that people can see it || display 
– A big sign was posted in front of the water at the beach.",
film,"# verb: to make a film / movie of a story or a real event 
– It took the six month to film the documentary.
– A new movie was being filmed. Her favorite actor was starring in it.",
star,"# verb: ( rr ) to have one of the main parts in a film / movie, etc.
# 2. if a film / movie, play, etc. stars somebody, that person has one of the main parts",
apparent,"# easy to see or understand || obvious
– Their devotion ( great love ) was apparent. ",
apparently,"# according to what you have heard or read; according to the way something apparent 
– Apparently they are getting divorced soon.
– Apparently they had all come up with the same plan.",
deaf,"# adjective: unable to hear anything or unable to hear very well
– to become / go deaf
– She was born deaf.
– The deaf people who cannot hear.",
set,"# noun: 1. a group of similar things that belong together in same way
– a set of six chair
– a complete set of her novel 
– a set of false teeth
# 6. a place where a play is performed or part of  film / movie is filmed. 
– The cast must all be on (the) set by 7 in the morning.",
,,
lesson 27,"# week 6, from 105 to 108",
,,
draw,"# 2 { pull } to move something / somebody by pulling it or them gently
– Chris was in class. he had to learn to draw blood.",
faint,"# to become unconscious when not enough blood in going to your brain, usually because of the heat or shock, etc. || pass out
– A little drop of blood came out. Chris fainted.",
date,"# 5 [ C ]( especially Am ) a boyfriends or girlfriends with whom you have arranged a data
– My date is meeting me at seven.
– One day Joe was with one of this dates at a park",
stain,"# noun: a dirty mark on something, that is difficult to remove 
– One of the windows was cracked. The seats all had big stains on them.
# verb: to leave a mark this is difficult to remove
– I hope it does not stint the carpet.
– This carpet stains easily.",
,,
lesson 28,"# week 6, from 109 to 110",
,,
latest,"# the most recent or newest
– Carl Wilson wasted the latest phone.",
beg,"# verb ( bb ) to ask somebody for something especially in an anxious way because you want or need it very much
– He begged his parents for it.
– They begged him for help.
– Forgive me! I beg you.",
bug,"# verb ( gg ) to put a special device ( a bug ) somewhere in order to listen secretly to other people conversation 
– They bugged her hotel room.
# 2. (informal) to annoying or irritate somebody 
– Stop bugging me!
– Still, Carl kept bugging his parents.",
irritate,"# to annoy somebody, especially by something you continuously do or by something that continuously happens
– The way she puts on that accent really irritate me.",
sewer,"# an underground pipe that is used to carry sewage away form houses, factories, etc.
– a sewer pipe / system
– The phone slipped out of his pocket. It landed in a sewer.",
sewage,"# used water and waste substance that are produced by human bodies, that are carried away from houses and factories through special pipe ( sewers )",
for sure,"# without doubt (informal)
– His parents would find out about this for sure.
– No one knows for sure what happens.",
show off,"# (informal, disapproving) to try to impress others by talking about your abilities, possessions, etc.
– He just showing off because that girl he likes is here.
– He likes to show off how well he speaks French.
– He ran to show it off to his friends. ",
END OF ,# ENGLISH LEVEL 3,
