English Level,"# five was started on February 18th , Saturday"
even,"# adjective: { smooth / level } smooth, level and flat
– > You need an even surface to work on. # antonym: uneven"
intense,"# 1. very great; very strong == extreme 
# 2. serious and often involving a lot of action in a short period of time
– > intense competition
– > Howard started to sweat. Was he ready for intense exercise every day?"
keep up,"# if particular weather keeps up it continues without stopping
– > The rain kept u all afternoon. 
– > “Coach is right, you guys all have to keep up. Keep up or go home.”"
,
lesson 30,# from 59 to 60
,
strength,"# the quality of being physically strong
# 6. { advantage } a quality or an ability that a person or thing has that gives them an advantage
– > The ability to keep calm in one of her many strengths.   
– > the strengths and weaknesses of an argument
– > Everyone has strengths and weaknesses. Soccer is not you strength."
keep up with sth/sb,"# to move, make progress or increase at the same rate as somebody / something 
– > Slow down – I cannot keep up!
– > However, he has been having trouble with the captain and keeping up with his teammates."
shady,"# protected from direct light from the sun by trees
– > a shady garden 
– > Ricky is homeless. He sleeps under a shady, big tree at the park."
wealth,"# a large amount of money, property, etc that a person or country owns
– > a person of wealth and influence
– > His past was great. He grew up in a wealthy family."
adjust,"# to change something slightly to make it more suitable for a new use of conditions or make it better ( =-== adapt )
– > Ricky’s parents had a very hard time adjusting."
,
lesson 31,# from 60 to 61
,
off,"# ???
– > Margaret was not off to a good start."
miss out,"# (miss out on something) to fail benefit it from something useful or enjoyable by taking part of it
– > Of course I am coming; I do not want to miss out.
– > Gabby did not want to miss out on school, she said she would stay at home."
goody-two-shoes,"# ( informal and disapproval) a person who always behaves well, and perhaps has a disapproving attitude to people who do not
– > People at school did think she was a goody-two-shoes, and her parent probably would not find out."
exclaim,"# to say something suddenly and loudly, especially because of strong emotion or pain 
– > “Okay, I will do it! Gabby exclaimed. "
sudden,"# happening or done quickly and unexpectedly 
# idiom: all of a sudden: quickly or unexpected
– > a sudden change
– > His death was very sudden.
– > All of a sudden, the door was opened. It was Gabby’s parents."
,
lesson 32,# from 63 to 64
,
obsess,"# to completely fill your mind so that you cannot think of anything else in a way that is not normal
– > Ginny was obsessed with donuts. She had first donuts when she was five years old."
gas station,"# a place at the side of a road when you take you car to buy petrol / gas / oil / etc
– > It was from a gas statoin."
donut,"# ( doughnut ) a small cake made of fired dough usually in the shape of a ring, or round and filled with jam / jelly / cream / etc
"
dough,"# a mixture of flour, water, etc that is made into bread and pastry "
pastry,"# a mixture of flour, fat, and water to milk that is rolled out flat and backed as a base or covering for pies, etc"
frustrate again,"# to make someone annoyed or impatient because they cannot do or achieve what they want 
– > When Ginny and Rebecca got there, the store was closed! The girls felt so frustrated."
concern,"# noun: { worry } a feeling of worry, especially one that is shared by many people
– > Do not hesitate to ask if you have any  questions or concerns about this work
– > “There have been some concerns over you behavior,” the principal said."
,
lesson 34,# from 65 to 66
,
veggie,"# BrE: vegetarian and NAmE: vegetable 
– > Myron was a meat lover and Nick was a veggie lover."
appreciate,"# ( synonym: realize ) to recognize the good qualities of somebody/ something 
– > Nick appreciated his dad’s suggestion. "
lay,"# to put somebody/ something in a particular position, especially when is done gently or carefully "
lay off,"# to stop doing something 
– > “Well Myron, it would be good for you laid off the meat for a while,” Nick said."
wait around/about,"# to stay in a place, with nothing particular to do, for example because you are expending something to happen or someone to arrive
– > Let us wait around see what happen. 
– > “I am not going to be wait around, so we are over,” Kylie said."
"over, adverb","# 8. ended
– > By the time we arrived the meeting was over.
– > Thanks goodness that is over!"
,
NEW WEEK,"# LESSON 35, 36, 37, 38, 39"
lesson 35,# from 67 to 68
,
trail,"# a rough path across countryside or through a forest 
– > As they continued waling, the trial was getting steeper and steeper."
suit,"# verb: to be convenience or useful for somebody 
– > “I do not get burned,” Toby said. “Well, suit yourself,” his friend said."
,
lesson 36,# from 69 to 70
,
knock out,"# 1. to make somebody fall asleep or become unconscious 
– > Kathy was knocked out with blood everywhere."
miraculous,"# like a miracle; completely unexpected and very lucky | sysnonym: extraordinary and phenomenal 
– > miraculous powers of heading
– > She made a miraculous recovery."
miraculously,"# Ex: They miraculously survived the plane crash.
– > The doctor told them that Kathy was miraculously alive."
discharge,"#to give somebody official permission to leave a place or job; to make somebody leave a job
– > The day after getting discharge from the hospital, Kathy triad a new ice cream flavor."
diary,"# a book with spaces for each day of the year in which you can write down things you have to do them in the future
#  not confusing with dairy: milk, eggs, cheese and other milk products "
exclusive,"# AW, Adjective. ( of a group of people. society, etc ) not very willing to allow new people to become members antonym: inclusive 
– > They were very exclusive. They did not want to include other people int their group."
inseparable,"# not able to be separated
– > They were inseparable friends."
,
lesson 37,# from 71 to 72
,
capable,"# having the ability or qualities necessary for doing something
– > Zoe knew that she was smart and capable, but she could never rise up with Justin as her boss."
submit,"# ( tt ) to give a document, proposal, etc. to somebody on authority so that they can study or consider it
– > Zoe submitted her letter of resignation."
resignation,"# the act of giving up your job or position; the occasion when you to this
– > a letter of resignation "
all the way,"# 1. during the whole journey / period of time
# 2. completely; as much as it takes to achieve when you want
– > I am fighting him all the way.
– > Laura always had really long hair. It went all the way down to her back."
,
lesson 37,# from 73 to 74
,
authentic,"# know to be real and genuine and not a copy | opposite: inauthentic
– > The restaurant was know for having delicious, authentic Japanese food."
hole in the wall,"# BrE: cash machine
# NAmE: a small dark shop / store or restaurant
– > Eduardo went to a restaurant. It was a “hole in the wall”, meaning it was not a nice place."
mansion,"# a large impressive house
– > a 18th century country mansion 
– > The student lived in a huge mansion."
insult,"# to say or do something that offends somebody
– > I have never been so insulted in my life.
– > Bethany was insulted."
offend,"# to make somebody feel upset because of something you say or do that is rude or embarrassing 
– > That will be offended if you do not go to their wedding."
,
lesson 39,# from 75 to 76
,
selfish,"# caring only about yourself rather than other people
– > selfish behavior 
– > Kimberly was very selfish. She only care about yourself and never did any favors for anyone."
foster,"# 1. to encourage something to develop | synonym: encourage, promote 
# 2. to take an other person’s child in your home for a period of time without becoming his/her legal parent
– > Kimberly was in foster care, and her foster parents were not nicest people."
foster adj,"# == 2. to take an other person’s child …
– > a foster mother / father / family"
owe,"# to have to pay somebody for something that you have already received or return money that you borrowed. 
– > She still owes her father $3000.
– > Kris owed Penny $100 since last year.
– > Hey do you have $100? You still owe me."
,
NEW WEEK,"# LESSON 40, 41, 42, 43, 44"
lesson 40,# from 77 to 78
,
mold,"# 3. a fine soft green, gray or black substance like fur, that grows on old food or on objects that are left in warn air
– > This is mold on the cheese.
– > There were flies flying around the dishes, and there was even some mold growing on the dishes."
split sth up,"# to divide something into smaller parts
– > The day was split up into 6 one-hour sections.
– > Why do not we just split up the dishes in four? Ella suggested."
lead,"# ( led led ) 1. to go with or in front of a person or an animal to show the way or to make them to go in right direction | synonym: guide 
– > There must have been something tragic in their lives that led them to that path."
,
lesson 40,# from 79 to 80
,
setback,"# a difficult or problem that delays or prevent something, or make a situation worse
– > The team suffered a major setback when their best player was injured.
– > Ms. Green told him not to worry and that even the smartest people would face setbacks."
accomplish,"# to succeed or doing or completing something | synonym: achieve
– > It was good because he accomplished a lot."
engage,"# ( informal ) to succeed in attracting and keeping someone’s attention and interest 
– > The big news this year was that Lilah Griffin was engaged to the CEO of a world famous company."
,
lesson 41,# from 81 to 82
,
tummy,"# informal. used especially by children or when specking to children 
– > Mum, my tummy hurts.
– > to have ( a ) tummy ache
– > “Because it still sticks to to my skin and makes my tummy bulge."
bulge,"# a lump that sticks out from something in a round shape
– > The bulge of a gun in his pocket.
# 2. fat on the body that sticks out in a round shape
– > That skirt is too tight. It shows all your bulge."
chubby,"# ( adjective: chubbier, chubbiest ) slightly fat in a way that people usually find attractive
– > chubby cheeks / fingers / hands 
– > Roland was always last. He was on the chubbier side, clumsy, and got tired easily."
clumsy,# ( of animal or person ) moving to doing things in a very awkward way
conflict,"# AW Verb: if two ideas, believes, stories, etc conflict; it is not possible for them to exist together or for them both to be true | synonym: clash
– > The results conflict with earlier finding.
– > Both of them were not athletic, but Tom was a little better, because he was taller. Miles felt conflict."
,
lesson 42,# from 83 to 84
,
bond,"# verb and AW. to join things firmly together; to join firmly to something else
– > This new glue bonds a variety of surfaces in seconds.
– > They bonded over their common interest in video games."
clutter,"# to fill a place with two many things so that it is untidy
– > Do not clutter the page with too many diagrams.
# noun: synonym: mess"
debit,"#  2. a sum of money taken from a bank account != credit 
– > debit card and credit card
– > Her mom and dad restricted her access to money by closing her debit and credit card."
shoplifting,"# the crime of stealing goods from a shop / store by deliberately leaving without paying for them
– > In fact, things got even worse. Janet started shoplifting."
survive,# to continue to live or exist 
surveillance,"# the act of carefully watching a person suspected of a crime or a place where a crime may be committed
– > Fitting rooms did not have surveillance cameras."
,
lesson 43,# from 85 to 86
,
fascinate,"# to attract or interest somebody very much
– > China has always fascinated me.
– > He went to a museum when he five years old and was fascinated by all the drawing."
deadline,"# a point in time by which something must be done
– > I prefer to work to a deadline.
– > He knew his teacher would not give him a deadline extension."
extension,"# { increasing influence } the act of increasing the area of activity, group of people, etc that is affected by somebody"
affect,"# verb and AW. to produce a change in someone/something
– > How will these changes affect us?
– > Your opinion will not affect my decision."
expansion,"# noun and AW. an act of increasing or making something increase in size. amount or important 
– > The expansion of higher education will continue."
,
lesson 44,# from 87 to 88
,
prank,"# a trick that is played on somebody as a joke
– > a children prank 
– > It turned out that her brother took her bike as prank."
voluminous,"# ( of clothes ) very large; having a lot of cloth | synonym: ample 
# adverb: voluminously 
– > Aria was always the pretty girl at school. She had voluminous, blonde, and curly hair."
blonde,"# for woman: blonde and for man blond
# ( of hair ) pale gold in color
– > a small blond boy"
passage,"# 1. { long narrow way }
# 2. { in the body }
# 3. { section from book } a short section from a book, a piece of music, etc, synonym: excerpt or extract 
– > The teacher assigned the students a passage to read and analyzed."
,
lesson 45,# did not have audio file
high-pitched,"# ( of sound ) very high
– > high-pitched voice / whistle 
– > Mia was 4 feet and 11 inches tall, with big cheeks and high-pitched voice."
downside,"# the disadvantage or less positive accepted of something != upside
– > People still always called her cute. It was a nice thing to hear, but it came with downsides, too."
mature,"# AW and adjective. ( of child or your person ) behaving in sensible way like an adult
– > Jane is very mature for her age.
# verb: to become fully grown or developed 
– > He also said that the company needed to have employees who looked mature."
founder,"# a person who starts an organization, institution, etc or caused something to be build
– > Augustus was the name of the founder of the Roman empire."
dome,"# a round roof with a circular base
– > her mouse nowhere to be found. He was not under his little dome or running on his wheel."
discourage,"# to try to prevent something or to prevent somebody from doing something, especially by making it difficult to do by showing they you do not approve of it
– > a campaign to discourage smoking among teenagers. 
– > Betty did not let what her neighbor said discourage her."
mice,"# plural of mouse
– > Betty was probably the only one who thought mice were cute."
,
lesson 46,# from 91 to 92
,
cabin,"# a small room on a ship in which you live or sleep
# 3. small house or shelter, usually made of wood
– > Hey do you guys want to hear a scary story about this cabin?"
legend,"# a story from ancient times about people and events, that may or may not be true; this type of story == myth 
– > the legend of Robin Hood
– > The story was an old camp legend."
mysterious,"# adjective: difficult to understand or explain; strange and adverb of it: mysteriously 
– > One of the twins mysteriously fainted while the other one fell through the hole of the floor and was never to be seen again."
coma,"# a deep unconscious state, usually lasting a long time and caused by serious illness or injured 
– > to go into / be in coma
– > The twin who fainted was in a coma."
opera,"# a dramatic work in which all or most of the words are sung to music; works of this type as an art form or entertainment 
– > In fact, she can even sing opera."
vocal,# connected with the voice
fall through,"# to not be completed, or not happen
– > Our plans fell through because of lack of money"
,
lesson 47,# from 93 to 94
,
contestant,"# a person who takes part of in a contest
– > Please welcome on the next contestant.
– > They picked 100 out of 100,000 contestants."
,
note,# item 95 was ignored since it has not audio
,
lesson 48,# from 96 to 97
,
bless,"# 1. to ask God to protect someone/something
# idiom: be bless with someone/something
– > We are blessed with five lovely grandchildren.
– > Stella was practically blind without her glasses. Her family was not blessed when in came to vision."
vision,"# AW and Noun: 1. the ability so see; the area that you can see from a particular position 
– > to have good/prefect/blurred/normal vision
– > Everyone in her family wore glasses, contact lenses, or had their vision corrected."
nerd,"# a person who is boring, stupid and not fashionable 
– > I feel like a nerd in these shoes.
– > Another problem was that glasses just made her look more nerdy."
slip,"# to slide on a short distance by accident so that you fall or nearly fall
– > She realized that she was not wearing her glasses! It must have slipped her mind."
hectic,"# very busy; full of activity
– > to lead a hectic life
– > a hectic schedule 
– > Today was too hectic to me.
– > The truth is I hate waring it, but I need it because I have such hectic schedule."
entrepreneur ,"# a person who makes money by starting or running businesses, especially when they involved taking financial risks 
– > The man explains that he buys apps from young entrepreneurs."
,
lesson 49,# from 97 to 98
,
sweepstakes,"# a type of betting in which the winner gets all the money bet by everyone else
– > A sweepstakes winner 
– > Janet entered a sweepstakes where she could win a free trip to Hawaii."
bet,"# to risk money on a race or an event by trying to predict the result
– > You have to be over 16 to bet."
,
lesson 50,# only 100
,
Hispanic,"# of or connected with Spain or Spanish-speakers countries, especially those of Latin American.
– > In fact Diego was not even Hispanic!"
,
end of 5,
